prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
90784-76001,85.3,0.552,1.64,263.8,636,91,78.4,18.1,63,24.8
90784-76001,85.1,0.552,1.633,260.1,635.5,91,78.4,18.1,61,29
90784-76001,85.6,0.551,1.639,259.7,636.1,91,78.5,18.1,60,28.8
90784-76001,85.3,0.555,1.644,262.2,636.1,91,78.7,18.1,58,26.3
90784-76001,85.3,0.553,1.639,265.1,633.5,91,78.4,18.1,64,26
90784-76001,85.5,0.551,1.637,265.9,632,91,78.5,18.1,63,26.7
90784-76001,85.1,0.554,1.636,258,638.1,91,78.6,18.1,59,28.5
90784-76001,85.6,0.552,1.637,266.1,631.7,91,78.4,18.1,59,26.8
90784-76001,85.6,0.551,1.633,265,635.6,91,78.6,18.1,58,24
90784-76001,85.6,0.551,1.634,261,635.5,91,78.5,18.1,67,28.1
90784-76001,85.4,0.553,1.635,259.2,636.1,91,78.7,18.1,58,29.3
90784-76001,84.9,0.551,1.632,261.8,633.9,91,78.4,18.1,57,28.9
90784-76001,85.4,0.551,1.634,256.5,638.1,91,78.7,18.1,58,30
90784-76001,85.4,0.549,1.634,258.7,636.1,91,78.5,18.1,60,29.8
90784-76001,85.5,0.553,1.632,262.7,635.6,91,78.4,18.1,61,26.3
90784-76001,85.5,0.553,1.631,262,637.6,91,78.3,18.1,61,25
90784-76001,85.4,0.551,1.636,258.4,637.4,91,78.6,18.1,59,28.8
90784-76001,85.5,0.553,1.634,259.3,637.6,91,78.3,18.1,60,27.7
90784-76001,85.5,0.55,1.638,268.5,630.3,91,78.4,18.1,60,25.8
90784-76001,85.4,0.552,1.63,263.7,635.5,91,78.4,18.1,63,25.4
90784-76001,85.4,0.551,1.635,258.6,637.4,91,78.6,18.2,57,28.6
90784-76001,84.9,0.552,1.613,257.1,637.6,91,78.4,18.1,61,29.9
90784-76001,85,0.551,1.634,263.3,635.6,91,78.5,18.1,60,25.7
90784-76001,85,0.554,1.643,261,637.5,91,78.5,18.2,59,26.1
90784-76001,84.8,0.553,1.639,264.9,634.2,91,78.6,18.1,59,25.5
90784-76001,85.6,0.551,1.626,266.8,631.8,91,78.5,18.1,60,26
90784-76001,85.3,0.554,1.636,261,637.8,91,78.6,18.1,60,25.8
90784-76001,85.3,0.55,1.636,261.5,638.3,91,78.6,18.1,62,24.8
90784-76001,85.5,0.551,1.635,267,631.8,91,78.4,18.1,53,25.8
90784-76001,85.3,0.554,1.636,264.6,635.5,90,78.4,18.1,52,24.5
90784-76001,84.6,0.551,1.632,264.5,634.1,90,78.6,18.1,57,26
90784-76001,85.8,0.551,1.632,276.6,632,91,77,18.1,60,16
90784-76001,85.1,0.556,1.631,259.5,635.4,91,78.5,18.1,58,29.7
90784-76001,85.5,0.554,1.638,264,635.9,91,78.3,18.1,55,24.7
90784-76001,85.5,0.553,1.626,258.6,637.8,91,78.2,18.2,54,28.2
90784-76001,84.8,0.551,1.622,263.3,635.9,91,78.4,18.2,58,25.4
90784-76001,85.2,0.554,1.637,261.3,635.9,91,78.4,18.1,63,27.4
90784-76001,85.2,0.555,1.64,263.7,636.1,91,78.1,18.1,66,24.8
90784-76001,85.2,0.551,1.636,267.6,636,91,77.7,18.1,69,21
90784-76001,84.6,0.556,1.635,254,632.1,91,25.9,18.1,60,38.5
90784-76001,84.9,0.469,1.638,268.8,632.1,91,29.3,18.1,60,42.3
90784-76001,84.2,0.472,1.638,268.8,632.1,91,29.5,18.1,60,41.8
90784-76001,85.5,0.472,1.638,268.8,632.1,91,29.3,0,60,37.4
90784-76001,85.5,0.551,1.636,270,630.1,91,78.5,18.1,58,24.5
90784-76001,86.1,0.553,1.64,259.6,637.9,91,78.2,18.2,56,27.1
90784-76001,85.7,0.551,1.639,260.6,635.8,91,78.4,18.1,61,28.2
90784-76001,85.7,0.554,1.625,265.7,630.2,91,78.5,18.1,59,28.7
90784-76001,85.6,0.552,1.634,260.7,637.8,91,78.4,18.1,59,26.1
90784-76001,85.6,0.555,1.637,264.9,633.9,91,78.4,18.1,65,25.8
90784-76001,85.1,0.556,1.632,261.9,637.8,91,78.4,18.1,61,24.9
90784-76001,85.5,0.553,1.633,263.1,636.1,91,78.5,18.2,58,25.4
90784-76001,85.7,0.553,1.645,266.6,634,91,78.4,18.1,62,24
90784-76001,85.4,0.551,1.629,263.8,635.8,91,78.5,18.1,64,25
90784-76001,85.3,0.55,1.638,264.9,634.1,91,78.7,18.1,57,25.6
90784-76001,88,0.554,1.641,259.9,635.8,91,78.7,18.2,55,28.9
90784-76001,88,0.553,1.638,266.8,633.8,91,78.1,18.1,56,24
90784-76001,85.8,0.549,1.64,263.3,632.1,91,78.6,18.1,59,29.2
90784-76001,87.9,0.551,1.616,262,637.8,91,78.6,18.1,59,24.8
90784-76001,86.3,0.551,1.639,264.7,635.9,91,78.7,18.2,58,24
90784-76001,85.7,0.553,1.639,268.9,632.1,92,78.6,18.1,59,23.6
90784-76001,85.7,0.556,1.642,265.4,635.9,91,78.7,18.1,64,23.3
90784-76001,86,0.551,1.631,269,634,91,78.3,18.1,72,21.6
90784-76001,85.8,0.552,1.628,264.3,638,91,78.7,18.1,59,22.3
90784-76001,85.6,0.555,1.639,264.7,636.1,91,78.7,18.1,57,23.8
90784-76001,85.6,0.551,1.632,264,635.9,91,78.7,18.2,58,24.7
90784-76001,86.2,0.555,1.632,264.7,635.4,91,78.6,18.1,61,24.5
90784-76001,85.3,0.554,1.623,263.4,635.4,91,78.6,18.1,59,25.8
90784-76001,85.6,0.551,1.635,267.9,632.2,91,78.6,18.1,72,24.5
90784-76001,85.7,0.551,1.621,263.5,634.1,91,78.9,18.1,60,27
90784-76001,85.7,0.553,1.635,264.3,634.1,91,78.6,18.1,62,26.2
90784-76001,85.4,0.552,1.631,260.4,636,91,78.6,18.1,65,28.2
90784-76001,85,0.553,1.63,259.2,636.1,91,78.8,18.2,53,29.3
90784-76001,85.3,0.552,1.615,259.4,637.5,91,78.7,18.2,51,27.7
90784-76001,85.4,0.554,1.618,264.7,636.3,91,78.3,18.2,58,23.6
90784-76001,85.4,0.553,1.638,270.4,634.3,91,78.3,18.1,51,19.9
90784-76001,85,0.554,1.623,270.3,636.1,91,77.4,18.2,64,18.2
90784-76001,84.9,0.551,1.614,248.9,637.5,91,25.9,18.1,63,38.2
90784-76001,84.9,0.465,1.637,267,633.8,91,29.4,18.1,63,39.2
90784-76001,84.6,0.474,1.637,267,633.8,91,29.4,18,63,36.7
90784-76001,84.6,0.476,1.637,267,633.8,91,29.5,18.1,63,37.5
90784-76001,84.3,0.472,1.637,267,633.8,91,29.4,18.1,63,40.2
90784-76001,84.6,0.473,1.637,267,633.8,91,29.4,18.1,63,41.2
90784-76001,84.6,0.473,1.637,267,633.8,90,29.3,18,63,27.2
90784-76001,66,0.47,1.637,267,633.8,79,29.1,0,63,14.1
90784-76001,87,0.557,1.632,268.2,634.1,79,78.9,18.2,57,22.3
90784-76001,87,0.554,1.63,263.8,637.8,80,78.8,18.1,61,23
90784-76001,86.3,0.551,1.622,267.9,637.8,79,78.1,18.1,55,18.9
90784-76001,85.6,0.552,1.633,262.1,637.7,80,78.9,18.1,55,24.8
90784-76001,85.8,0.552,1.632,261.1,638.9,79,78.6,18.2,68,24.6
90784-76001,85.9,0.552,1.634,265.8,637.8,79,78.4,18.1,68,21
90784-76001,85.1,0.552,1.632,268.4,635.8,79,78.2,18.2,70,20.4
90784-76001,85,0.55,1.637,249.2,637.6,84,26.1,18.1,60,37.8
90784-76001,84.5,0.473,1.633,272.8,629.5,83,29.5,18.1,60,35.5
90784-76001,65.2,0.472,1.633,272.8,629.5,84,29.4,0,60,32.2
90784-76001,86.9,0.552,1.636,265.8,634,83,78.3,18.1,68,24.8
90784-76001,85.6,0.552,1.627,267.3,635.8,83,76.6,18.1,60,21.5
90784-76001,85.7,0.55,1.639,265.5,635.9,83,76.6,18.1,59,23.2
90784-76001,85,0.551,1.64,267.1,632.1,83,77.2,18.1,57,25.4
90784-76001,85.6,0.55,1.632,265.1,635.8,83,76.7,18.1,65,23.7
90784-76001,85.4,0.552,1.64,262.6,638.1,84,76.9,18.1,56,23.9
90784-76001,84.9,0.556,1.624,262.3,634,83,77,18.1,57,28.3
90784-76001,85.4,0.556,1.639,272,627.8,83,77,18.1,59,24.8
90784-76001,85,0.552,1.628,261.4,635.5,83,77,18.1,56,27.7
90784-76001,84.9,0.55,1.638,267.2,633.6,83,76.9,18.1,55,23.8
90784-76001,85.2,0.556,1.636,264.7,637.4,83,76.7,18.1,58,22.5
90784-76001,85.2,0.554,1.631,261,636.1,83,77.1,18.1,56,27.5
90784-76001,85.3,0.552,1.63,270.7,628.1,83,77.3,18.1,52,25.8
90784-76001,85.4,0.552,1.628,261.8,639.4,83,77,18.1,59,23.4
90784-76001,85.4,0.55,1.639,263.8,637.9,83,76.8,18.1,59,22.9
90784-76001,85.1,0.549,1.64,262.8,637.7,83,77.1,18.1,55,24.1
90784-76001,84.9,0.552,1.642,265.8,636,83,76.8,18.2,61,22.8
90784-76001,85.1,0.554,1.636,261.7,637.6,83,76.9,18.1,60,25.3
90784-76001,85.4,0.551,1.632,261.9,636.2,83,77.2,18.1,54,26.5
90784-76001,85.2,0.551,1.633,264.8,634,83,76.9,18.1,59,25.8
90784-76001,85,0.551,1.642,263.9,635.9,83,76.8,18.1,66,24.8
90784-76001,85,0.553,1.639,263.1,639.5,83,76.9,18.1,60,22
90784-76001,84.9,0.551,1.637,263.3,637.6,82,76.9,18.1,62,23.7
90784-76001,85.5,0.55,1.641,266.9,636.1,83,76.9,18.1,66,21.6
90784-76001,84.9,0.553,1.634,264.8,635.7,83,76.7,18.1,57,24.1
90784-76001,85.5,0.551,1.634,261.6,638.3,83,77.1,18.2,56,24.7
90784-76001,87.5,0.553,1.631,266.8,631.8,83,77.2,18.1,52,26
90784-76001,87.5,0.549,1.625,262.3,636.3,83,77.1,18.2,52,26
90784-76001,85.2,0.553,1.634,267.5,632,82,77.1,18.1,56,25.1
90784-76001,85.1,0.552,1.637,268.1,633.8,82,77,18.1,58,22.7
90784-76001,87.1,0.553,1.637,265.2,634,83,77,18.1,52,25.4
90784-76001,87.1,0.551,1.635,264.9,635.7,82,77.2,18.1,54,24
90784-76001,86.5,0.551,1.632,267.1,636.3,83,76.3,18.1,61,21.2
90784-76001,85.1,0.55,1.637,273.1,628.1,83,76.7,18.1,60,23.4
90784-76001,84.7,0.55,1.629,275.8,629.8,83,76.1,18.1,64,19
90784-76001,84.6,0.556,1.621,252.7,637.7,83,26.1,18.1,64,34.2
90784-76001,80,0.471,1.633,273.6,637.8,82,29.5,18.1,64,31.7
90784-76001,85.2,0.475,1.633,273.6,637.8,82,29.5,0,64,40.7
90784-76001,85.2,0.554,1.633,273.6,637.8,82,75.8,18.1,64,13.2
90784-76001,84.9,0.55,1.637,264.2,637.4,83,77,18.1,57,23
90784-76001,85.3,0.552,1.634,263.7,637.6,83,76.9,18.1,53,23.3
90784-76001,84.9,0.552,1.627,262.3,636.1,82,77.1,18.1,61,26.2
90784-76001,85.3,0.552,1.642,263.2,637.8,83,77.2,18.1,58,23.6
90784-76001,85.3,0.553,1.634,270.3,633.9,82,77.1,18.2,69,20.4
90784-76001,85.5,0.551,1.63,266.7,633.7,83,77.1,18.1,68,24.2
90784-76001,85.5,0.556,1.643,264.2,636,83,77,18.1,62,24.4
90784-76001,85.3,0.549,1.639,257.6,639.7,83,77.3,18.1,62,27.3
90784-76001,85.1,0.551,1.634,261,638.9,82,77.2,18.2,59,24.7
90784-76001,85.3,0.551,1.635,267.5,633.9,83,77.2,18.1,65,23.2
90784-76001,85.1,0.552,1.634,262.3,635.6,83,77.2,18.1,54,26.7
90784-76001,85.4,0.553,1.633,267,629.5,82,77.4,18.1,63,28.1
90784-76001,84.8,0.546,1.637,269.2,628.1,83,77.3,18.2,57,27.3
90784-76001,85.8,0.551,1.637,267,635.9,82,77.2,18.1,61,21.7
90784-76001,86.3,0.553,1.63,264.5,636.3,82,76.9,18.1,55,23.8
90784-76001,86.4,0.548,1.639,272.6,630,83,77.2,18.1,60,22
90784-76001,85.1,0.549,1.645,261.6,639.7,83,77.2,18.2,58,23.3
90784-76001,86.3,0.553,1.641,259.3,639.8,82,77.5,18.2,58,25.5
90784-76001,86.3,0.55,1.632,263.6,637.7,83,77.2,18.1,65,23.3
90784-76001,85.7,0.551,1.636,264.3,635.8,82,77.7,18.2,59,24.5
90784-76001,86.3,0.553,1.642,267.9,637.7,82,76.9,18.1,69,19
90784-76001,86.9,0.548,1.645,269.9,633.9,83,77.1,18.3,70,20.8
90784-76001,85.2,0.548,1.646,276.1,626.9,83,77,18.2,54,21.6
90784-76001,85,0.551,1.639,272.5,630.1,83,77.4,18.1,62,22
90784-76001,85,0.551,1.641,260.8,639.4,82,77.5,18.1,59,24.4
90784-76001,85,0.553,1.644,267.4,632.1,83,77.5,18.2,62,25.1
90784-76001,85.5,0.552,1.636,269,631.9,82,77.5,18.2,60,23.7
90784-76001,85.5,0.55,1.653,263.2,639.6,83,77.5,18.1,63,21.8
90784-76001,85.3,0.556,1.64,266.7,633.9,83,77.5,18.1,65,24
90784-76001,85,0.551,1.63,262.9,637.8,83,77.5,18.1,59,23.9
90784-76001,85.5,0.551,1.639,264,638.1,83,77.3,18.1,59,22.5
90784-76001,85,0.558,1.643,262.7,638.1,83,77.6,18.1,62,23.8
90784-76001,85.5,0.553,1.639,262.6,639.3,83,77.3,18.1,68,22.7
90784-76001,84.9,0.548,1.633,269.3,630.9,83,77.5,18.1,63,24.4
90784-76001,85.2,0.553,1.637,265.8,635.8,83,77.5,18.1,58,23
90784-76001,85.2,0.551,1.636,262.6,635.9,83,77.7,18.2,55,26.1
90784-76001,85.3,0.552,1.638,262.1,638,82,77.7,18.1,52,24.5
90784-76001,85.2,0.556,1.637,260.2,640,83,77.4,18.1,66,24.4
90784-76001,84.9,0.55,1.637,262.9,637.5,83,77.4,18.1,55,24.2
90784-76001,85.7,0.549,1.636,268.8,631.8,82,77.6,18.2,62,24
90784-76001,84.9,0.55,1.631,266.8,632,82,77.4,18.1,59,25.8
90784-76001,85.7,0.554,1.637,264.2,636,83,77.5,18.2,53,24.4
90784-76001,84.6,0.551,1.639,267.1,633.5,82,77.7,18.2,55,24
90784-76001,85,0.55,1.636,266.6,634.3,82,77.5,18.2,59,23.7
90784-76001,85.3,0.553,1.64,261.4,638.1,82,77.7,18.2,57,25.1
90784-76001,85,0.549,1.648,264,637.8,82,77.4,18.1,69,22.8
90784-76001,85.3,0.552,1.638,264.5,637.4,83,77.5,18.2,66,22.7
90784-76001,85.8,0.56,1.631,264.5,637.7,82,77.3,18.2,60,22.4
90784-76001,86.4,0.551,1.638,264.1,638,82,77.3,18.1,57,22.5
90784-76001,86.4,0.551,1.633,261.4,639.4,83,77.3,18.1,73,23.8
90784-76001,85.9,0.55,1.637,263.5,638.1,82,77.2,18.2,61,23
90784-76001,85.8,0.549,1.646,275,633.8,82,77.3,18.2,58,15.8
90784-76001,84.9,0.554,1.631,263.2,637.8,83,77.6,18.2,56,23.6
90784-76001,85.3,0.551,1.632,258.8,637.8,83,77.6,18.2,63,28
90784-76001,85.5,0.555,1.628,263.1,637.5,83,77.4,18.2,60,24
90784-76001,85.5,0.555,1.632,260.3,639.6,82,77.8,18.1,54,24.7
90784-76001,85.1,0.551,1.639,260.4,638,82,77.8,18.1,56,26.2
90784-76001,85.1,0.551,1.637,265.3,635.5,83,77.6,18.2,56,23.8
90784-76001,84.7,0.553,1.643,262.5,637.8,82,77.6,18.1,56,24.3
90784-76001,85.6,0.552,1.641,261.1,637.8,83,77.7,18.1,59,25.7
90784-76001,84.8,0.554,1.629,265.8,634,82,77.7,18.1,56,24.8
90784-76001,85.1,0.548,1.64,264.1,638.3,82,77.6,18.1,63,22.2
90784-76001,85,0.556,1.639,259.4,641.9,82,77.8,18.1,60,23.3
90784-76001,85.4,0.554,1.638,262.2,639.4,83,77.7,18.1,58,23
90784-76001,85.1,0.551,1.634,261.9,639.6,82,77.5,18.2,66,23.1
90784-76001,85.3,0.554,1.643,265.3,635.8,83,77.6,18.1,54,23.5
90784-76001,84.9,0.552,1.631,261.7,638.2,83,77.8,18.2,62,24.7
90784-76001,84.8,0.551,1.636,263,639.9,82,77.5,18.2,65,21.7
90784-76001,84.8,0.55,1.637,270.8,631.8,83,77.7,18.1,59,22
90784-76001,85.6,0.549,1.631,261.1,639.7,83,77.8,18.1,60,23.8
90784-76001,85.4,0.551,1.637,269.7,630.1,83,77.9,18.1,53,24.8
90784-76001,85.4,0.553,1.638,262.6,635.8,82,77.8,18.1,56,26.2
90784-76001,85.1,0.556,1.644,262,639.8,83,77.8,18.2,57,22.8
90784-76001,84.9,0.55,1.637,265.7,635.9,82,77.7,18.3,63,23
90784-76001,85.2,0.554,1.636,264.1,635.9,82,78,18.2,53,24.6
90784-76001,85.4,0.552,1.636,267.7,639.6,83,77,18.1,60,17.3
90784-76001,85.4,0.552,1.635,261,639.9,82,77.9,18.2,58,23.7
90784-76001,85.8,0.556,1.633,270.2,633.8,82,77.5,18.2,60,20.6
90784-76001,86.3,0.557,1.641,266.2,637.9,82,77.4,18.1,65,20.5
90784-76001,85,0.551,1.632,262.4,639.9,82,77.6,18.1,58,22.3
90784-76001,85.2,0.548,1.636,274.2,628.4,83,77.7,18.1,55,22
90784-76001,85.1,0.55,1.645,261.3,639.9,83,77.8,18.1,56,23.4
90784-76001,85.1,0.556,1.637,266.5,634,82,77.8,18.1,56,24.1
90784-76001,85.3,0.555,1.636,263.9,639.9,82,77.6,18.1,53,20.8
90784-76001,85.1,0.551,1.64,267.2,637.8,82,77.4,18.1,62,19.6
90784-76001,85.4,0.547,1.64,258.3,634.8,82,26.1,18.2,61,31.5
90784-76001,86.1,0.474,1.644,269.8,635.8,82,29.8,0,61,32
90784-76001,86.1,0.551,1.644,269.8,635.8,82,77.2,0,61,19
90784-76001,85.3,0.557,1.636,261.3,638.1,82,77.8,18.1,58,25.2
90784-76001,85.6,0.551,1.637,260.5,639.8,82,77.8,18.1,59,24.3
90784-76001,86,0.552,1.64,265.1,637.7,82,77.7,18.1,55,21.8
90784-76001,88.5,0.55,1.645,271.6,632.1,82,77.5,18.1,59,20.9
90784-76001,86.7,0.551,1.643,265.7,637.9,82,77.6,18.1,56,21
90784-76001,88.2,0.55,1.638,269.3,636,82,77.5,18.2,63,19.3
90784-76001,86,0.551,1.639,268.3,638.1,82,77.1,18.1,68,18.2
90784-76001,85.4,0.553,1.637,255,635.8,82,26.2,18.1,68,33.8
90784-76001,73.4,0.48,1.629,284.8,629.9,82,29.7,0,68,33.2
90784-76001,86.5,0.554,1.629,284.8,629.9,82,75.9,18.1,68,9.9
90784-76001,85.5,0.551,1.63,276.7,628.1,82,77.6,18.2,60,19.8
90784-76001,85.4,0.551,1.635,267.1,638.1,82,77.5,18.1,69,19.4
90784-76001,85.1,0.55,1.637,266.5,638.3,82,77.6,18.1,63,19.8
90784-76001,85.7,0.552,1.636,268.8,636.2,82,77.7,18.1,56,19.6
90784-76001,87,0.549,1.64,266.9,639.4,82,77.6,18.1,59,18.3
90784-76001,86.7,0.551,1.639,267.8,638,82,77.5,18.2,55,18.8
90784-76001,88.7,0.551,1.639,267.2,639.7,82,77.5,18.2,65,17.7
90784-76001,87.5,0.552,1.641,270.6,635.5,83,77.6,18.1,57,18.5
90784-76001,91.5,0.546,1.636,273.8,631.8,82,77.6,18.1,63,19
90784-76001,87.1,0.55,1.636,264.7,639.9,82,77.8,18.2,61,20
90784-76001,86.1,0.552,1.631,265.1,639.4,82,77.7,18.1,61,20.1
90784-76001,85.7,0.553,1.635,264.6,640.1,82,77.7,18.2,64,19.9
90784-76001,86,0.551,1.636,268.7,634,82,77.7,18.1,61,21.9
90784-76001,86.1,0.551,1.636,268.7,637.9,82,77.6,18.1,65,18
90784-76001,88.3,0.555,1.632,267.6,639.8,82,77.5,18.2,67,17.2
90784-76001,86.3,0.549,1.63,263.5,639.7,82,77.6,18.2,59,21.4
90784-76001,87.3,0.554,1.633,268.8,636.1,82,77.6,18.2,66,19.7
90784-76001,86.3,0.552,1.632,271.6,634,82,77.7,18.2,61,19
90784-76001,86.2,0.55,1.629,267.8,639.6,82,77.4,18.2,61,17.2
90784-76001,85.1,0.553,1.636,268.9,636.3,82,77.7,18.1,66,19.4
90784-76001,85.9,0.55,1.636,269.4,635.8,82,77.7,18.2,61,19.4
90784-76001,86.1,0.552,1.635,268.9,635.8,82,77.7,18.2,63,19.9
90784-76001,89,0.551,1.629,264.9,639.6,82,77.7,18.2,60,20.1
90784-76001,85.7,0.551,1.631,264.4,639.9,82,78,18.1,55,20.3
90784-76001,86.2,0.553,1.629,273,633.6,82,77.5,18.2,64,18
90784-76001,85.4,0.551,1.627,267.4,638.2,82,77.6,18.2,63,19
90784-76001,85.8,0.553,1.633,272,633.8,82,77.7,18.2,61,18.8
90784-76001,85.2,0.551,1.626,265.3,639.7,82,77.8,18.2,62,19.6
90784-76001,85.2,0.548,1.64,267.4,637.5,82,77.7,18.1,70,19.7
90784-76001,85.1,0.554,1.632,269.6,636,82,77.3,18.1,69,19
90784-76001,85.2,0.551,1.63,256.1,638.2,81,26.1,18.1,56,30.3
90784-76001,84.5,0.475,1.638,266.2,637.8,82,29.6,18.2,56,30.5
90784-76001,87,0.467,1.638,266.2,637.8,81,29.6,18.7,56,30
90784-76001,86.5,0.55,1.638,266.2,637.8,82,77.9,18.1,56,20.6
90784-76001,85.9,0.552,1.64,265.3,639.6,82,77.8,18.2,61,19.7
90784-76001,85.2,0.558,1.637,266.9,637.8,82,77.9,18.1,65,19.9
90784-76001,85.2,0.545,1.634,264.7,637.6,82,78.1,18.1,62,22.3
90784-76001,85.1,0.551,1.639,265.3,637.6,82,78.1,18.1,60,21.7
90784-76001,85.2,0.544,1.641,267.2,638.1,82,78.1,18.1,60,19.3
90784-76001,85.3,0.55,1.638,263.8,640,82,78.1,18.1,58,20.8
90784-76001,85.3,0.548,1.642,266,639.6,82,77.9,18.1,59,19
90784-76001,85.2,0.551,1.641,266.8,637.5,82,78.3,18.1,58,20.3
90784-76001,85.2,0.551,1.636,267.5,639.6,82,77.9,18.2,63,17.5
90784-76001,85.1,0.546,1.635,271.6,634.3,82,78,18.1,63,18.7
90784-76001,85.2,0.55,1.639,266.5,640.3,82,78.1,18.1,66,17.8
90784-76001,85.1,0.548,1.637,275.4,628.6,82,78.3,18.1,63,20.6
90784-76001,85.8,0.558,1.638,271.1,637.7,82,77.6,18.1,62,15.8
90784-76001,85.4,0.551,1.642,265.7,638.1,82,78,18.1,65,20.8
90784-76001,85.3,0.556,1.641,262.4,640,82,78.2,18.2,61,22.2
90784-76001,85.6,0.553,1.637,270.8,634,82,77.9,18.1,60,19.8
90784-76001,84.9,0.557,1.629,274.4,630,82,78,18.2,65,20.2
90784-76001,85,0.542,1.639,271.5,636.1,82,77.5,18.2,81,17
90784-76001,85.1,0.551,1.643,264.5,639.8,82,77.8,18.2,73,20.3
90784-76001,84.7,0.466,1.63,261.4,635.9,82,29.7,18.2,59,33.2
90784-76001,74.9,0.475,1.63,261.4,635.9,82,29.7,0,59,32.9
90784-76001,84.8,0.545,1.63,261.4,635.9,82,78.7,18.1,59,27.3
90784-76001,85.1,0.551,1.634,258.8,640.1,82,78.7,18.2,60,25.7
90784-76001,85.8,0.556,1.631,259.6,637.9,82,78.8,18.2,58,27.1
90784-76001,86.5,0.545,1.633,262.7,632,82,78.6,18.1,63,29.9
90784-76001,86.4,0.554,1.633,256.1,639.6,82,78.7,18.1,60,28.9
90784-76001,84.9,0.553,1.628,250.4,641.8,82,78.9,18.1,58,32.4
90784-76001,85.1,0.553,1.632,251.1,639.7,82,78.7,18.1,57,33.8
90784-76001,87.6,0.551,1.63,257.3,639.8,81,78.9,18.1,58,27.5
90784-76001,85,0.556,1.636,256.8,640,82,78.9,18.1,53,27.8
90784-76001,85.1,0.551,1.626,260.6,637.8,81,78.6,18.1,54,26.2
90784-76001,85.3,0.553,1.638,259.5,639.9,81,78.6,18.1,55,25.2
90784-76001,85.4,0.546,1.633,268.7,632,81,78.5,18.1,52,23.9
90784-76001,85.2,0.542,1.635,266.4,637.7,81,77.9,18.2,64,20.5
90784-76001,85.2,0.546,1.643,258.1,630.2,81,26.3,18.1,56,36.3
90784-76001,85.1,0.472,1.629,268.8,633.6,81,29.8,18.1,56,34.3
90784-76001,88.7,0.469,1.629,268.8,633.6,80,29.7,18.8,56,31.5
90784-76001,88.7,0.554,1.627,264.1,640.3,82,78.1,18.2,59,20.2
90784-76001,88.3,0.551,1.638,266.2,639.6,82,77.9,18.2,67,18.8
90784-76001,85.3,0.552,1.637,258.5,641.4,81,78.4,18.2,55,24.7
90784-76001,86.2,0.557,1.628,262.8,639.8,81,78.3,18.1,60,22
90784-76001,86.2,0.551,1.631,261.8,641.6,82,78.1,18.1,54,21.2
90784-76001,85.9,0.547,1.633,260.8,639.8,82,78.3,18.1,59,24
90784-76001,85.1,0.551,1.633,259.7,641.8,81,78.4,18.1,56,23.1
90784-76001,85.6,0.551,1.631,264,638.1,82,78.3,18.1,58,22.5
90784-76001,85,0.551,1.627,263.6,638,82,78.4,18.1,57,23
90784-76001,85.3,0.551,1.629,262.7,639.4,82,78.3,18.2,61,22.5
90784-76001,85,0.554,1.629,262.8,637.8,82,78.5,18.2,57,24
90784-76001,85.6,0.553,1.624,263.1,638.4,81,78.4,18,62,23.1
90784-76001,87.6,0.549,1.634,262.2,640.2,81,78.5,18.1,56,22.2
90784-76001,85.3,0.549,1.636,266,637.9,82,78.1,18.1,55,20.7
90784-76001,84.8,0.55,1.634,266.5,637.8,81,77.8,18,66,20.3
90784-76001,84.7,0.548,1.637,259.2,630.4,81,26.3,18.1,78,35
90784-76001,85.2,0.467,1.635,275.3,641.9,81,29.8,18.1,78,36.2
90784-76001,110.3,0.476,1.635,275.3,641.9,80,29.9,18.8,78,33.8
90784-76001,85.3,0.555,1.635,275.3,641.9,82,75.6,18.1,78,7.4
90784-76001,85.2,0.549,1.633,260,640.1,81,78.5,18.1,59,24.5
90784-76001,85.1,0.546,1.631,261,635.9,82,78.4,18.2,66,27.7
90784-76001,85.2,0.551,1.633,260,640,82,78.2,18.1,67,24.6
90784-76001,85.2,0.553,1.634,262.4,639.9,82,78.1,18.1,62,22.3
90784-76001,85.3,0.546,1.622,266.1,629.5,81,78.5,18.1,56,29
90784-76001,85.1,0.548,1.629,268.5,632.3,82,78.2,18.1,59,23.8
90784-76001,85.4,0.548,1.636,265,636.2,81,78.4,18.2,58,23.4
90784-76001,85.1,0.552,1.625,257.2,641.7,82,78.5,18.1,62,25.7
90784-76001,84.6,0.551,1.635,263.1,639.9,82,78.2,18.1,58,21.6
90784-76001,85.5,0.544,1.632,262.6,635.8,81,78.4,18.1,60,26.2
90784-76001,85.4,0.549,1.638,264.9,635.4,81,78.5,18.1,59,24.3
90784-76001,85.3,0.551,1.63,257.4,637.9,81,78.4,18.1,62,29.3
90784-76001,85.2,0.55,1.622,256.1,640.1,82,78.3,18.1,58,28.4
90784-76001,84.9,0.553,1.636,258.1,641.2,82,78.4,18.1,64,25.3
90784-76001,84.9,0.552,1.626,256.9,642.3,81,78.6,18.1,57,25.4
90784-76001,85.4,0.551,1.637,265.7,635.9,81,78.4,18.3,61,23
90784-76001,85.3,0.551,1.633,261.4,638,81,78.3,18.1,61,25.2
90784-76001,85.4,0.551,1.632,266.8,633.8,81,78.7,18.2,56,24
90784-76001,85.4,0.543,1.638,261.2,639.6,81,78.1,18,57,23.8
90784-76001,85.1,0.551,1.626,258.4,638,81,78.4,18.1,59,28.2
