prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
90784-76001,86.7,0.614,1.699,244.2,657.4,96,77.8,18.1,64,22.7
90784-76001,86.2,0.613,1.697,243.6,658.8,96,78,18.1,65,21.9
90784-76001,85.9,0.611,1.707,246.9,657.4,95,77.8,18.1,65,20
90784-76001,86.3,0.61,1.711,245.3,657.3,96,77.8,18.1,69,21.7
90784-76001,86.3,0.612,1.707,241,657.8,96,78,18.1,60,25.5
90784-76001,86.3,0.604,1.685,242.2,656.8,96,77.8,18.1,64,25.3
90784-76001,86.4,0.607,1.701,242.1,657.1,96,77.9,18.2,65,25.1
90784-76001,85.9,0.607,1.694,242.2,657.1,95,77.7,18.1,63,25
90784-76001,86.5,0.604,1.705,243.7,657.1,96,78,18.1,63,23.5
90784-76001,86.5,0.606,1.715,241.4,656.8,96,78.1,18.1,61,26.1
90784-76001,86.3,0.606,1.709,243.4,657.3,95,78,18.2,61,23.6
90784-76001,86.3,0.608,1.685,244.9,656.8,96,78,18.1,86,22.6
90784-76001,85.2,0.61,1.689,243.6,657.1,96,77.9,18.1,60,23.6
90784-76001,85.3,0.611,1.668,240.5,657.4,95,78.1,18.1,60,26.4
90784-76001,85.3,0.609,1.666,242,657.3,96,77.9,18.1,58,25
90784-76001,85.3,0.604,1.677,247.8,656.9,95,77.6,18.1,59,19.6
90784-76001,86.5,0.606,1.658,245.2,657.2,96,77.8,18.1,59,21.9
90784-76001,86.3,0.608,1.685,242.8,657.2,96,78.1,18.1,56,24.3
90784-76001,86.3,0.608,1.676,245.9,657.3,96,77.7,18.1,69,21.1
90784-76001,85.8,0.613,1.678,242.7,657.1,96,77.9,18.2,59,24.5
90784-76001,85.6,0.609,1.673,241.7,657.1,96,77.8,18.1,58,25.5
90784-76001,86.2,0.608,1.676,244,657.4,95,77.8,18.1,55,22.9
90784-76001,86.1,0.611,1.676,241.8,657.1,95,77.9,18.1,55,25.4
90784-76001,86.1,0.61,1.689,241.3,657.1,96,78,18.1,82,25.9
90784-76001,86.2,0.604,1.692,240.4,657.6,95,78.1,18.1,51,26.3
90784-76001,85.7,0.606,1.675,243.3,656.9,95,77.8,18.2,56,24.1
90784-76001,85.7,0.609,1.658,241.5,656.8,96,78.2,18.1,78,26
90784-76001,85.5,0.615,1.666,240.5,658.1,95,78,18.1,62,25.7
90784-76001,85.7,0.604,1.646,246,656.8,95,77.6,18.1,63,21.5
90784-76001,85.6,0.61,1.669,243.1,657.3,95,77.9,18.1,53,23.9
90784-76001,86,0.604,1.679,245.4,656.9,96,77.8,18.1,60,22
90784-76001,85.9,0.607,1.689,245.7,656.9,95,78,18.1,63,21.7
90784-76001,85.9,0.609,1.671,245.7,657.2,95,77.7,18.1,63,21.4
90784-76001,85.9,0.609,1.683,242.4,656.9,95,78,18.1,55,25
90784-76001,86,0.607,1.683,243.4,657.6,95,77.9,18.1,54,23.3
90784-76001,87.5,0.613,1.697,245.7,657.1,95,77.6,18.1,57,21.5
90784-76001,86.2,0.603,1.692,243,657.4,95,78,18.1,60,23.9
90784-76001,86.2,0.609,1.704,243.6,656.9,95,77.8,18.1,60,23.8
90784-76001,86.1,0.61,1.692,242.9,657.4,95,77.8,18.1,59,24
90784-76001,86.3,0.606,1.696,243.2,657.2,95,77.9,18.1,62,23.9
90784-76001,86.5,0.61,1.68,244.2,657.6,95,77.9,18.1,64,22.5
90784-76001,86,0.608,1.677,244.1,657.3,95,78,18.1,68,22.9
90784-76001,86.5,0.611,1.666,245.5,657.2,95,77.5,18.1,62,21.6
90784-76001,86,0.606,1.645,245.4,656.9,95,77.9,18.1,64,22
90784-76001,86.1,0.609,1.661,240.6,656.8,95,78,18.2,54,26.9
90784-76001,86.5,0.61,1.655,242.5,656.9,95,77.6,18.1,58,24.9
90784-76001,86.1,0.606,1.662,247.1,657.3,95,77.5,18.1,73,19.9
90784-76001,86.1,0.611,1.648,245.4,656.8,95,77.8,18.1,61,22.1
90784-76001,86.3,0.608,1.673,245.3,657.5,95,77.7,18.2,62,21.5
90784-76001,85.8,0.606,1.681,247.4,657.5,95,77.6,18.2,67,19.4
90784-76001,85.8,0.604,1.685,244.6,657,95,77.8,18.2,61,22.7
90784-76001,86.4,0.607,1.684,244,657.1,95,78.1,18.2,58,23.2
90784-76001,85.8,0.604,1.691,240.8,657.3,95,78.1,18.2,59,26.2
90784-76001,85.8,0.609,1.668,242.3,657.3,95,78.1,18.1,58,24.7
90784-76001,87.2,0.611,1.676,243.2,657.6,95,78,18.1,50,23.5
90784-76001,87.2,0.608,1.679,244.8,657.4,94,77.9,18.2,57,22.1
90784-76001,86.6,0.61,1.669,245.2,657.6,95,78,18.2,56,21.5
90784-76001,86.3,0.61,1.662,243,657.4,95,77.7,18.2,56,23.9
90784-76001,86.3,0.604,1.684,240.4,657.6,95,77.9,18.1,56,26.3
90784-76001,86.3,0.611,1.676,242.6,657.5,95,77.8,18.1,57,24.2
90784-76001,87.3,0.608,1.691,246.1,656.8,95,77.9,18.1,85,21.4
90784-76001,86.5,0.605,1.679,246.6,657.3,95,77.7,18.1,65,20.4
90784-76001,85.8,0.609,1.671,244.1,657.6,94,77.8,18.1,56,22.6
90784-76001,86.1,0.603,1.674,244.7,656.9,95,77.8,18.1,66,22.7
90784-76001,86.1,0.606,1.667,243.4,657.3,95,77.8,18.1,61,23.6
90784-76001,86.1,0.611,1.682,248.9,656.8,95,77.9,18.1,61,18.6
90784-76001,86.1,0.609,1.684,249,656.9,95,77.9,18.1,59,18.4
90784-76001,86.3,0.608,1.677,248.9,657.4,95,77.6,18.1,61,18
90784-76001,86,0.606,1.649,249.8,657.4,96,77.8,18.1,58,17.1
90784-76001,86,0.604,1.681,246.2,656.8,96,77.8,18.1,55,21.3
90784-76001,85.7,0.604,1.674,244.6,657.5,96,77.8,18.1,66,22.2
90784-76001,85.9,0.608,1.679,243.5,657.1,95,77.9,18.2,60,23.7
90784-76001,86.5,0.605,1.678,243,657.2,95,78.1,18.1,63,24.1
90784-76001,86.5,0.607,1.666,242.5,657.6,95,78.1,18.1,62,24.2
